177	158	7
57	164	6
4	169	7
178	165	6
176	160	7
100	174	8
8	150	2
188	172	6
95	160	5
92	155	3
121	176	2
44	152	3
99	170	6
88	153	6
42	155	1
191	174	3
9	158	5
13	166	1
174	169	3
137	163	2
38	163	5
98	174	3
134	152	4
44	177	9
22	156	7
200	163	10
86	165	9
62	155	3
173	166	10
158	174	7
48	164	9
79	178	8
84	169	2
55	175	5
195	170	4
155	156	9
29	156	3
192	180	3
20	176	9
101	154	5
48	172	3
44	158	5
19	172	2
163	168	10
134	163	8
181	169	3
9	170	4
40	152	10
3	158	7
109	161	5
138	171	4
100	156	1
64	164	6
21	166	5
12	172	3
20	172	4
113	155	8
10	159	2
73	180	8
149	177	8
182	163	6
10	178	2
5	178	8
196	167	9
86	166	7
33	180	8
194	166	7
61	163	7
118	165	9
72	179	9
87	165	6
27	158	2
161	166	9
135	179	2
33	170	6
144	180	4
55	168	6
128	160	6
14	165	1
136	157	4
190	164	6
55	150	9
189	171	7
49	179	3
144	157	2
130	152	9
143	174	8
3	168	3
100	152	6
189	177	7
71	173	4
181	152	7
24	155	2
154	156	7
159	164	1
108	161	9
115	177	8
59	162	5
68	168	3
99	159	8
4	165	2
103	165	6
140	166	7
128	154	7
10	166	6
78	160	5
140	164	4
127	168	3
42	165	2
84	159	5
198	179	6
50	165	8
124	175	5
192	150	5
61	178	5
116	155	6
31	169	5
50	167	9
115	153	2
197	180	9
61	155	1
114	173	1
3	170	8
103	175	6
77	167	5
185	180	3
15	167	10
123	174	7
124	163	7
167	158	9
174	156	9
158	165	4
125	162	6
56	175	6
69	171	9
2	171	5
166	176	2
71	179	3
120	173	7
38	152	4
143	175	7
173	155	4
193	150	2
11	171	3
9	178	2
82	174	4
190	158	7
173	170	6
71	162	9
39	178	5
63	172	8
122	168	5
59	165	4
101	172	2
99	173	8
53	171	7
113	157	4
59	158	7
89	159	5
180	154	1
118	166	3
160	177	3
83	162	4
132	163	4
83	156	6
153	172	9
28	165	1
177	174	9
12	156	9
8	152	3
25	163	9
163	150	3
156	180	3
50	155	5
49	165	4
5	158	5
13	174	3
159	174	6
94	172	3
71	168	8
79	162	7
71	166	4
74	162	8
179	170	5
71	165	7
98	156	9
162	150	6
116	160	7
182	164	3
189	174	9
3	155	1
47	155	10
124	167	9
168	174	9
122	167	7
79	179	7
71	170	3
4	167	7
111	168	1
22	168	6
74	159	5
58	171	3
24	152	10
3	151	8
19	156	6
152	160	9
29	151	7
65	153	9
31	158	7
160	157	9
86	178	3
168	176	6
26	151	3
58	156	8
77	152	9
70	167	6
25	167	9
133	155	7
147	179	4
117	174	3
52	162	9
167	166	10
41	160	7
110	165	4
35	158	3
181	162	1
101	177	8
139	168	1
173	150	5
59	172	6
198	178	9
147	154	2
156	158	9
62	177	7
78	177	3
110	164	4
57	158	8
8	155	10
112	169	9
87	155	6
57	175	7
182	172	4
46	176	7
177	166	2
147	151	1
90	172	4
8	174	3
55	172	8
157	154	6
39	151	7
52	178	3
106	169	7
116	167	8
23	157	9
161	161	7
183	150	1
6	174	6
155	170	9
169	162	8
182	159	6
179	151	3
159	165	7
3	152	7
28	178	6
115	155	7
185	175	7
74	165	9
46	157	10
127	177	4
162	152	9
94	166	3
183	153	3
174	164	10
92	180	3
153	151	9
132	156	10
161	153	8
83	169	9
114	162	10
153	171	8
125	168	7
184	160	5
73	154	3
103	178	5
91	174	2
196	153	6
65	158	7
121	163	1
175	162	4
68	155	6
38	170	3
101	176	8
194	172	1
164	164	4
137	159	9
54	173	2
42	171	6
120	156	8
59	150	6
176	178	2
151	157	7
118	162	9
183	158	7
82	155	7
136	167	8
2	174	7
18	157	7
161	157	6
47	160	8
103	180	10
98	171	1
89	176	3
20	171	4
93	179	5
33	151	7
188	168	7
91	176	8
138	170	10
18	161	5
65	180	2
147	175	6
69	167	1
78	175	4
8	166	8
104	178	7
41	168	6
12	169	2
80	171	9
15	161	3
91	153	3
106	163	6
25	179	6
59	174	9
149	157	4
106	162	3
68	180	4
54	167	7
130	167	8
52	161	4
89	153	2
76	173	1
87	168	6
124	164	5
96	165	4
27	156	8
191	165	6
177	175	6
30	176	10
70	158	7
112	168	10
125	152	10
135	163	8
2	177	6
108	151	5
169	167	4
179	174	5
170	158	9
49	158	6
28	152	3
127	150	9
185	160	2
120	165	4
173	159	1
115	172	8
62	172	4
72	166	2
43	157	10
125	156	2
80	176	1
19	167	5
149	158	8
185	164	4
198	175	7
171	166	1
11	168	1
106	176	9
110	172	10
159	159	5
168	154	3
25	168	1
156	174	3
66	171	7
72	151	2
58	179	4
